Site,date,precipConductivity,precipConductivityUncertainty
D12_WY,2019-07-24,10.6,0.4
D12_WY,2019-08-06,11.9,0.4
D12_WY,2019-08-21,5.7,0.4
D12_WY,2019-09-05,12.9,0.4
D12_WY,2019-09-17,12.9,0.4
D12_WY,2019-10-02,3.2,0.4
D12_WY,2019-10-16,3.5,0.4
D12_WY,2019-10-30,3.1,0.4
D16_WA,2019-04-12,3.1,0.4
D16_WA,2019-04-22,7,0.4
D16_WA,2019-05-08,8,0.4
D16_WA,2019-05-22,3.4,0.4
D16_WA,2019-06-04,5.7,0.4
D16_WA,2019-06-17,4.2,0.4
D16_WA,2019-07-03,5.5,0.4
D16_WA,2019-07-22,4.2,0.4
D16_WA,2019-08-14,3.4,0.4
D16_WA,2019-08-28,4.4,0.4
D16_WA,2019-09-10,4,0.4
D16_WA,2019-09-25,3.9,0.4
D16_WA,2019-10-10,5.5,0.4
D16_WA,2019-10-23,5.8,0.4
