"","X1","H 4","H 5","H 6","H 7","H 8","H 9"
"1",4,-129.875961303711,-118.813720703125,-112.915458679199,-100.970359802246,-104.985145568848,-103.35457611084
"2",5,-129.875961303711,-118.813720703125,-112.915458679199,-100.970359802246,-104.985145568848,-103.35457611084
"3",6,-129.875961303711,-118.813720703125,-112.915458679199,-100.970359802246,-104.985145568848,-103.35457611084
"4",9,-127.949554443359,-116.943481445312,-110.991577148438,-99.5861282348633,-103.714767456055,-101.933456420898
"5",16,-127.414512634277,-116.257667541504,-110.115631103516,-99.2440338134766,-103.584320068359,-101.719444274902
"6",21,-133.534393310547,-122.054496765137,-115.806427001953,-103.723182678223,-107.810829162598,-106.463752746582
"7",24,-139.645751953125,-127.742149353027,-121.290435791016,-108.023155212402,-111.956062316895,-111.047660827637
"8",27,-139.218994140625,-127.335029602051,-120.838195800781,-107.756401062012,-111.697448730469,-110.788284301758
"9",29,-139.218994140625,-127.335029602051,-120.838195800781,-107.756401062012,-111.697448730469,-110.788284301758
"10",30,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"11",31,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"12",32,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"13",35,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"14",36,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"15",38,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"16",39,-132.556610107422,-120.968414306641,-114.494697570801,-103.09162902832,-107.327857971191,-106.010314941406
"17",40,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"18",41,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"19",43,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"20",44,-129.307434082031,-117.941329956055,-111.562454223633,-100.668144226074,-104.928375244141,-103.434768676758
"21",46,-131.713500976562,-120.136436462402,-113.626945495605,-102.482551574707,-106.760459899902,-105.427017211914
"22",47,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"23",48,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"24",49,-127.17308807373,-115.792755126953,-109.310905456543,-99.0562210083008,-103.458213806152,-101.896087646484
"25",50,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"26",51,-127.17308807373,-115.792755126953,-109.310905456543,-99.0562210083008,-103.458213806152,-101.896087646484
"27",52,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"28",59,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"29",62,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"30",63,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"31",64,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"32",65,-129.307434082031,-117.941329956055,-111.562454223633,-100.668144226074,-104.928375244141,-103.434768676758
"33",67,-129.307434082031,-117.941329956055,-111.562454223633,-100.668144226074,-104.928375244141,-103.434768676758
"34",68,-127.249458312988,-115.93350982666,-109.574676513672,-99.1985321044922,-103.690155029297,-101.836708068848
"35",70,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"36",71,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"37",73,-129.063018798828,-117.712730407715,-111.410636901855,-100.509078979492,-104.883941650391,-103.163330078125
"38",76,-127.17308807373,-115.792755126953,-109.310905456543,-99.0562210083008,-103.458213806152,-101.896087646484
"39",80,-126.797019958496,-115.450500488281,-108.996170043945,-98.8171081542969,-103.263885498047,-101.580619812012
"40",84,-126.062835693359,-115.068023681641,-109.133773803711,-98.1752777099609,-102.535850524902,-100.471778869629
"41",101,-128.955841064453,-117.606887817383,-111.254341125488,-100.423263549805,-104.73609161377,-103.136985778809
"42",104,-127.17308807373,-115.792755126953,-109.310905456543,-99.0562210083008,-103.458213806152,-101.896087646484
