Lake,O,H,Descrip,Type
1,-19.589957,-149.125078,Columbia River @ Moberly,River
2,-19.558693,-149.630197,Columbia River @ Parson,River
3,-19.158369,-147.381553,Columbia River at Spillimacheen,River
4,-18.479854,-143.622235,large lake south of Nicholson,Wetland
6,-13.2092775,-120.666648,Middle of 2 channels,Wetland
9,-19.237247,-147.402151,Columbia Valley Lodge,Wetland
16,-15.991226,-135.285704,south off west side of Parsons Rd,Wetland
21,-16.814652,-136.027979,just after Castledale big with Lilys,Wetland
24,-17.67548,-140.376569,before Castledale w of RR by Rd,Wetland
30,-7.338462,-90.9159285,Downstream of Spilli bridge,Wetland
31,-14.296442,-126.126281,Galbraith's lake,Wetland
32,-16.8108,-137.485287,Perrys lake,Wetland
35,-15.76984,-132.245683,Brisco mill,Wetland
36,-18.347588,-144.420881,S of Brisco mill- Wolfendon,Wetland
37,-14.519722,-126.6000265,Columbia River @ Brisco,River
38,-15.192975,-131.008042,Thresher's lake,Wetland
39,-13.806971,-122.254527,Frog reintroduction site,Wetland
43,-11.666296,-113.891976,Luxor road,Wetland
47,-11.521833,-112.203131,Taggert east of RR,Wetland
48,-15.3335915,-129.7280215,Taggert west  of RR,Wetland
49,-14.092489,-126.215687,Radium mill,Wetland
51,-15.532658,-131.558561, Wilmer marsh Ritchie Pt,Wetland
52,-13.553368,-122.279074,Isolated pond in Wilmer wetland,Wetland
62,-12.952928,-120.446239,Upstream of Spilli turn-off took new one,Wetland
63,-20.418013,-154.191999,Opposite Galena Cr on W side of river ,Wetland
70,-11.325504,-112.419504,Halverson's,Wetland
71,-17.453407,-137.611349,"mid Brisco bridge ""elk"" pond",Wetland
76,-14.683895,-127.417032,Capilo,Wetland
80,-15.428107,-125.966626,small drained just south of 2nd Radium bridge,Wetland
81,-19.347124,-146.279859,Columbia Lake,Lake
82,-19.835231,-151.200848,Canal Flats springs,Spring
83,-10.478952,-108.564869,Dutch Creek,River
84,-19.614729,-151.931914,Reflection Lake Golden,Wetland
85,-18.924768,-144.842949,Rollins Well,Well
86,-19.4874905,-148.847823,Galbraith Spring,Spring
87,-19.647758,-149.667863,Columbia Estates spring,Spring
88,-19.1767195,-146.622043,Einer spring pond,Spring Pond
89,-19.040723,-146.604992,Bell Spring  pond #1,Spring Pond
90,-17.916116,-143.866806,Bell spring pond #2,Spring Pond
91,-19.274263,-150.174621,Gacek Rd Spring pond near L24,Spring Pond
92,-19.03876,-147.7342735,Nola House spring ,Spring
93,-16.045999,-135.733364,gerhardt lepp well,Well
94,-19.06686,-146.051797,Feldmann well on Westside Rd,Well
95,-17.918905,-140.587284,CR @Radium main bridge,River
96,-19.164096,-147.401124,CR at Althamere/Invermere ,River
97,-18.815492,-145.459989,CR @ Fairmont,River
98,-19.347438,-147.399035,Bayley Spring after snowmelt,Spring
99,-20.71687,-161.565032,Kat Spring,Spring
100,-22.420356,-171.232146,Bayley well,Well
102,-17.536406,-142.858068,snow from yearly snowpack on Cedar Trail,Snowmelt
104,-16.236576,-135.8714905,Moberly marsh at outflow drain,Well
105,-16.366751,-136.266102,Sulfur wetland pond- bottom of my land just after snowmelt,Well
106,-16.4099535,-136.2571465,Sulfur wetland pond- bottom of my land later,Well
